recipe_id,recipe_name,ingredients,calorie,protein,fat,carbohydrate,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folic_acid,vitamin_c,biotin,total_choline,sodium,potassium,magnesium,iron,zinc,calcium,phosphorus,selenium,iodine,copper,manganese
8624,绿豆芽肉丝,"绿豆芽：100g猪肉：30g豆油：5g精盐：0.5g黄酒：2g姜：2g, 绿豆芽：100g, 猪肉：30g, 豆油：5g, 精盐：0.5g, 黄酒：2g, 姜：2g",105 kcal,7.83 g,6.97 g,3.12 g,14.20 μg RAE,0.00 μg,4.75 mg α-TE,0.00 μg,0.18 mg,0.05 mg,0.03 mg,0.00 μg,1.96 mg,27.30 μg,4.04 mg,1.00 μg,,240.00 mg,127.44 mg,26.44 mg,1.34 mg,1.16 mg,17.56 mg,76.69 mg,3.14 μg,3.56 μg,0.09 mg,0.16 mg
8625,小炒银牙茄子,"茄子：50g绿豆芽：50g豆油：5g精盐：0.5g大蒜：2g五香豆豉：2g, 茄子：50g, 绿豆芽：50g, 豆油：5g, 精盐：0.5g, 大蒜：2g, 五香豆豉：2g",73 kcal,1.97 g,5.21 g,5.09 g,2.56 μg RAE,,6.05 mg α-TE,,0.02 mg,0.03 mg,0.02 mg,0.00 μg,0.50 mg,18.50 μg,4.64 mg,1.20 μg,,218.08 mg,107.56 mg,20.12 mg,0.60 mg,0.34 mg,21.12 mg,24.55 mg,0.54 μg,1.85 μg,0.11 mg,0.19 mg
8626,素炒油菜,"油菜：150g豆油：10g盐：1g鸡精：1g蒜：3g, 油菜：150g, 豆油：10g, 盐：1g, 鸡精：1g, 蒜：3g",117 kcal,2.20 g,10.78 g,4.16 g,135.09 μg RAE,,9.34 mg α-TE,30.75 μg,0.03 mg,0.08 mg,0.12 mg,0.00 μg,0.86 mg,161.51 μg,0.21 mg,0.01 μg,,693.38 mg,272.88 mg,38.47 mg,1.61 mg,0.62 mg,224.77 mg,39.37 mg,1.22 μg,7.32 μg,0.08 mg,0.40 mg
8627,竹笋豆豉炒藕丁,"竹笋：50g藕：50g豆油：3g精盐：0.5g五香豆豉：2g辣椒：2g, 竹笋：50g, 藕：50g, 豆油：3g, 精盐：0.5g, 五香豆豉：2g, 辣椒：2g",68 kcal,2.41 g,3.27 g,8.52 g,2.32 μg RAE,,3.80 mg α-TE,,0.06 mg,0.05 mg,0.03 mg,0.00 μg,0.39 mg,18.19 μg,14.88 mg,1.30 μg,,219.39 mg,359.90 mg,11.96 mg,0.57 mg,0.38 mg,15.32 mg,57.47 mg,0.25 μg,4.75 μg,0.12 mg,1.09 mg
8628,炝炒红苋菜,"苋菜：150g豆油：3g精盐：0.5g味精：1g大蒜：2g, 苋菜：150g, 豆油：3g, 精盐：0.5g, 味精：1g, 大蒜：2g",85 kcal,4.69 g,3.60 g,9.67 g,186.06 μg RAE,,5.12 mg α-TE,,0.05 mg,0.15 mg,,,0.91 mg,629.70 μg,45.14 mg,,,342.15 mg,516.24 mg,57.59 mg,4.45 mg,1.10 mg,269.28 mg,97.09 mg,0.22 μg,,0.11 mg,0.56 mg
8629,蒜香苋菜,"苋菜：150g大蒜：2g精盐：2g味精：2g酱油：1g醋：1g白砂糖：2g豆油：5g辣椒油：2g, 苋菜：150g, 大蒜：2g, 精盐：2g, 味精：2g, 酱油：1g, 醋：1g, 白砂糖：2g, 豆油：5g, 辣椒油：2g",132 kcal,5.17 g,7.60 g,12.08 g,186.82 μg RAE,,8.72 mg α-TE,,0.05 mg,0.15 mg,,,0.95 mg,629.70 μg,45.14 mg,,,1073.71 mg,523.53 mg,59.50 mg,4.67 mg,1.15 mg,272.10 mg,100.43 mg,0.27 μg,0.04 μg,0.12 mg,0.62 mg
8630,苋菜炒鸡蛋,"苋菜：100g鸡蛋：60g豆油：5g精盐：0.5g白砂糖：1g鸡精：0.5g大蒜：2g, 苋菜：100g, 鸡蛋：60g, 豆油：5g, 精盐：0.5g, 白砂糖：1g, 鸡精：0.5g, 大蒜：2g",171 kcal,10.80 g,10.57 g,9.05 g,277.06 μg RAE,,6.89 mg α-TE,,0.08 mg,0.22 mg,,,0.73 mg,487.84 μg,30.14 mg,5.64 μg,150.00 mg,412.72 mg,439.15 mg,44.62 mg,4.01 mg,1.30 mg,213.38 mg,144.10 mg,8.55 μg,13.63 μg,0.19 mg,0.40 mg
8631,苋菜炒松花蛋,"苋菜：100g松花蛋：60g江米酒：5g精盐：0.5g鸡精：0.5g豆油：5g, 苋菜：100g, 松花蛋：60g, 江米酒：5g, 精盐：0.5g, 鸡精：0.5g, 豆油：5g",189 kcal,11.45 g,11.83 g,8.76 g,253.00 μg RAE,0.00 μg,8.02 mg α-TE,0.00 μg,0.07 mg,0.21 mg,0.00 mg,0.00 μg,0.66 mg,427.90 μg,30.00 mg,0.00 μg,,659.10 mg,431.86 mg,46.27 mg,5.01 mg,1.68 mg,217.40 mg,163.13 mg,15.27 μg,4.21 μg,0.15 mg,0.43 mg
8632,泰式海鲜面,"面条：50g对虾：25g猪肉：10g小白菜：50g辣椒：5g柠檬汁：10g绵白糖：5g鱼奇油：10g味精：1g, 面条：50g, 对虾：25g, 猪肉：10g, 小白菜：50g, 辣椒：5g, 柠檬汁：10g, 绵白糖：5g, 鱼奇油：10g, 味精：1g",260 kcal,13.68 g,4.30 g,43.11 g,82.25 μg RAE,0.00 μg,1.11 mg α-TE,0.00 μg,0.18 mg,0.12 mg,0.04 mg,0.00 μg,2.00 mg,29.49 μg,33.10 mg,3.15 μg,,1140.80 mg,281.34 mg,62.27 mg,3.94 mg,1.90 mg,87.30 mg,167.29 mg,14.38 μg,2.80 μg,0.23 mg,1.09 mg
8633,西芹彩椒炒蘑菇,"芹菜：50g蘑菇：50g彩椒：20g, 芹菜：50g, 蘑菇：50g, 彩椒：20g",24 kcal,1.81 g,0.19 g,4.88 g,14.70 μg RAE,,0.60 mg α-TE,,0.06 mg,0.20 mg,0.03 mg,0.00 μg,2.33 mg,30.98 μg,22.80 mg,0.97 μg,1.12 mg,88.71 mg,275.60 mg,17.10 mg,0.80 mg,0.57 mg,12.30 mg,58.70 mg,0.34 μg,0.65 μg,0.28 mg,0.10 mg
8634,芹香煎蛋,"芹菜：50g鸡蛋：60g豆油：3g精盐：0.5g味精：1g黄酒：2g, 芹菜：50g, 鸡蛋：60g, 豆油：3g, 精盐：0.5g, 味精：1g, 黄酒：2g",121 kcal,8.49 g,8.26 g,3.26 g,154.00 μg RAE,0.00 μg,3.47 mg α-TE,0.00 μg,0.06 mg,0.13 mg,0.03 mg,0.00 μg,0.24 mg,82.28 μg,1.00 mg,6.19 μg,150.00 mg,440.51 mg,157.12 mg,14.47 mg,1.15 mg,0.64 mg,43.42 mg,85.17 mg,8.45 μg,13.50 μg,0.13 mg,0.07 mg
8635,炝拌香芹,"芹菜：150g芝麻油：2g精盐：0.5g鸡精：0.5g, 芹菜：150g, 芝麻油：2g, 精盐：0.5g, 鸡精：0.5g",38 kcal,0.65 g,2.30 g,4.81 g,3.00 μg RAE,,1.37 mg α-TE,,0.02 mg,0.03 mg,0.09 mg,0.00 μg,0.33 mg,42.96 μg,3.00 mg,1.65 μg,,540.50 mg,192.51 mg,24.08 mg,0.36 mg,0.21 mg,22.83 mg,19.91 mg,0.13 μg,0.13 μg,0.05 mg,0.08 mg
8636,小炒芹菜,"芹菜：150g豆油：3g精盐：0.5g大葱：3g花椒：2g, 芹菜：150g, 豆油：3g, 精盐：0.5g, 大葱：3g, 花椒：2g",53 kcal,0.78 g,3.49 g,6.15 g,3.61 μg RAE,,2.84 mg α-TE,,0.02 mg,0.04 mg,0.09 mg,0.00 μg,0.38 mg,43.31 μg,3.09 mg,1.67 μg,,447.53 mg,199.54 mg,26.80 mg,0.56 mg,0.29 mg,37.67 mg,21.84 mg,0.17 μg,0.27 μg,0.07 mg,0.15 mg
8637,凉拌香芹,"芹菜：150g芝麻油：2g精盐：0.5g鸡精：0.5g, 芹菜：150g, 芝麻油：2g, 精盐：0.5g, 鸡精：0.5g",38 kcal,0.65 g,2.30 g,4.81 g,3.00 μg RAE,,1.37 mg α-TE,,0.02 mg,0.03 mg,0.09 mg,0.00 μg,0.33 mg,42.96 μg,3.00 mg,1.65 μg,,540.50 mg,192.51 mg,24.08 mg,0.36 mg,0.21 mg,22.83 mg,19.91 mg,0.13 μg,0.13 μg,0.05 mg,0.08 mg
8638,鸡丁炒黄豆芽,"鸡胸脯肉：50g黄豆芽：100g豆油：3g精盐：0.5g味精：1g白砂糖：1g豌豆淀粉：3g, 鸡胸脯肉：50g, 黄豆芽：100g, 豆油：3g, 精盐：0.5g, 味精：1g, 白砂糖：1g, 豌豆淀粉：3g",150 kcal,17.22 g,5.55 g,8.62 g,4.50 μg RAE,,3.80 mg α-TE,,0.08 mg,0.10 mg,0.31 mg,0.00 μg,6.58 mg,10.35 μg,8.00 mg,4.85 μg,6.90 mg,308.01 mg,329.54 mg,35.32 mg,1.54 mg,0.71 mg,23.32 mg,159.63 mg,6.86 μg,12.20 μg,0.15 mg,0.38 mg
8639,茄子炒西红柿,"茄子：50g番茄：50g豆油：5g精盐：0.5g大蒜：2g葱：2g, 茄子：50g, 番茄：50g, 豆油：5g, 精盐：0.5g, 大蒜：2g, 葱：2g",68 kcal,1.12 g,5.21 g,4.75 g,18.96 μg RAE,,5.46 mg α-TE,,0.02 mg,0.03 mg,0.03 mg,0.00 μg,0.57 mg,10.76 μg,10.06 mg,1.85 μg,3.35 mg,204.96 mg,169.62 mg,13.44 mg,0.51 mg,0.26 mg,16.98 mg,26.71 mg,0.33 μg,0.75 μg,0.08 mg,0.13 mg
8640,蒜仔茄子,"茄子：150g青椒：10g韭菜：10g大蒜：10g白糖：1g干辣椒：1g芝麻油：2g, 茄子：150g, 青椒：10g, 韭菜：10g, 大蒜：10g, 白糖：1g, 干辣椒：1g, 芝麻油：2g",78 kcal,2.57 g,2.50 g,12.61 g,20.40 μg RAE,,3.36 mg α-TE,7.38 μg,0.04 mg,0.08 mg,0.04 mg,0.00 μg,1.12 mg,26.57 μg,14.30 mg,2.90 μg,0.56 mg,11.40 mg,293.60 mg,26.90 mg,1.08 mg,0.57 mg,45.90 mg,55.84 mg,1.16 μg,1.64 μg,0.20 mg,0.40 mg
8641,肉末烩茄子,"茄子：50g猪肉：30g酱油：1g精盐：0.5g黄酒：2g白砂糖：1g豆油：5g大葱：3g大蒜：2g, 茄子：50g, 猪肉：30g, 酱油：1g, 精盐：0.5g, 黄酒：2g, 白砂糖：1g, 豆油：5g, 大葱：3g, 大蒜：2g",166 kcal,5.31 g,14.14 g,4.27 g,6.71 μg RAE,0.00 μg,5.44 mg α-TE,0.00 μg,0.10 mg,0.06 mg,0.00 mg,0.00 μg,1.59 mg,9.78 μg,2.73 mg,2.04 μg,,274.88 mg,149.90 mg,14.25 mg,0.90 mg,0.75 mg,18.91 mg,53.78 mg,2.71 μg,0.42 μg,0.10 mg,0.14 mg
8642,秘制蒜茄子,"茄子：150g香菜：2g精盐：1g芝麻油：2g大蒜：5g, 茄子：150g, 香菜：2g, 精盐：1g, 芝麻油：2g, 大蒜：5g",59 kcal,1.92 g,2.31 g,8.85 g,8.09 μg RAE,,3.13 mg α-TE,,0.03 mg,0.06 mg,,,0.97 mg,21.28 μg,8.81 mg,2.10 μg,,403.18 mg,233.68 mg,21.29 mg,0.92 mg,0.40 mg,40.37 mg,41.41 mg,0.89 μg,1.29 μg,0.16 mg,0.24 mg
8643,家常烧茄子,"茄子：150g甜椒：10g洋葱：10g豆油：5g精盐：0.5g白砂糖：1g生抽：1g大蒜：2g, 茄子：150g, 甜椒：10g, 洋葱：10g, 豆油：5g, 精盐：0.5g, 白砂糖：1g, 生抽：1g, 大蒜：2g",92 kcal,2.00 g,5.34 g,10.18 g,6.86 μg RAE,,6.41 mg α-TE,,0.03 mg,0.06 mg,0.01 mg,0.00 μg,0.99 mg,21.16 μg,21.44 mg,2.25 μg,0.61 mg,269.59 mg,237.43 mg,21.90 mg,0.98 mg,0.44 mg,40.30 mg,41.76 mg,0.93 μg,1.44 μg,0.17 mg,0.24 mg
8644,肉末茄子煲,"茄子：100g牛肉：40g豆油：5g精盐：0.5g味精：1g大蒜：2g姜：2g大葱：3g豆瓣酱：2g孜然子：1g辣椒：2g胡椒粉：1g酱油：1g蚝油：1g, 茄子：100g, 牛肉：40g, 豆油：5g, 精盐：0.5g, 味精：1g, 大蒜：2g, 姜：2g, 大葱：3g, 豆瓣酱：2g, 孜然子：1g, 辣椒：2g, 胡椒粉：1g, 酱油：1g, 蚝油：1g",131 kcal,10.93 g,6.55 g,8.02 g,8.23 μg RAE,,6.15 mg α-TE,,0.04 mg,0.10 mg,0.00 mg,0.00 μg,2.72 mg,15.51 μg,8.15 mg,1.78 μg,,531.72 mg,264.88 mg,33.32 mg,2.46 mg,2.48 mg,44.09 mg,108.24 mg,2.29 μg,2.63 μg,0.16 mg,0.35 mg
8645,虎皮酿尖椒,"甜椒：150g豆油：5g精盐：0.5g味精：1g醋：2g酱油：1g, 甜椒：150g, 豆油：5g, 精盐：0.5g, 味精：1g, 醋：2g, 酱油：1g",77 kcal,2.00 g,5.31 g,6.17 g,9.00 μg RAE,,5.26 mg α-TE,,0.03 mg,0.03 mg,0.18 mg,0.00 μg,0.64 mg,16.35 μg,195.00 mg,1.80 μg,,341.22 mg,10.65 mg,2.05 mg,0.33 mg,0.09 mg,2.76 mg,4.35 mg,0.65 μg,1.71 μg,0.01 mg,0.10 mg
8646,青椒煎蛋,"甜椒：80g鸡蛋：60g豆油：5g精盐：0.5g大葱：3g, 甜椒：80g, 鸡蛋：60g, 豆油：5g, 精盐：0.5g, 大葱：3g",144 kcal,8.71 g,10.33 g,4.65 g,157.95 μg RAE,,5.66 mg α-TE,,0.07 mg,0.14 mg,0.10 mg,0.00 μg,0.45 mg,77.11 μg,104.09 mg,6.62 μg,150.00 mg,275.98 mg,95.92 mg,6.64 mg,1.09 mg,0.59 mg,36.25 mg,79.10 mg,8.70 μg,14.38 μg,0.12 mg,0.05 mg
8647,辣椒炒银芽,"绿豆芽：50g甜椒：40g豆油：5g精盐：0.5g白砂糖：1g醋：2g大蒜：2g姜：2g, 绿豆芽：50g, 甜椒：40g, 豆油：5g, 精盐：0.5g, 白砂糖：1g, 醋：2g, 大蒜：2g, 姜：2g",68 kcal,1.39 g,5.15 g,4.54 g,2.96 μg RAE,,4.83 mg α-TE,,0.02 mg,0.02 mg,0.07 mg,0.00 μg,0.39 mg,16.83 μg,54.18 mg,0.98 μg,,215.38 mg,32.53 mg,10.35 mg,0.43 mg,0.20 mg,9.26 mg,14.41 mg,0.41 μg,2.02 μg,0.04 mg,0.19 mg
8648,炒尖椒,"甜椒：150g豆油：5g精盐：0.5g味精：1g酱油：1g大葱：3g, 甜椒：150g, 豆油：5g, 精盐：0.5g, 味精：1g, 酱油：1g, 大葱：3g",77 kcal,2.01 g,5.31 g,6.24 g,9.15 μg RAE,,5.26 mg α-TE,,0.03 mg,0.03 mg,0.18 mg,0.00 μg,0.63 mg,16.76 μg,195.09 mg,1.82 μg,,336.25 mg,6.93 mg,2.27 mg,0.23 mg,0.07 mg,4.31 mg,3.18 mg,0.61 μg,1.67 μg,0.01 mg,0.05 mg
8649,辣椒平菇炒肉丝,"甜椒：40g蘑菇：50g猪肉：30g豆油：5g精盐：0.5g鸡精：0.5g淀粉：2g黄酒：2g, 甜椒：40g, 蘑菇：50g, 猪肉：30g, 豆油：5g, 精盐：0.5g, 鸡精：0.5g, 淀粉：2g, 黄酒：2g",116 kcal,7.92 g,7.00 g,5.82 g,16.10 μg RAE,0.00 μg,5.19 mg α-TE,0.00 μg,0.21 mg,0.22 mg,0.05 mg,0.00 μg,3.76 mg,6.96 μg,53.00 mg,0.48 μg,,313.63 mg,249.32 mg,13.47 mg,1.67 mg,1.42 mg,6.86 mg,105.60 mg,3.31 μg,1.79 μg,0.29 mg,0.10 mg
8650,家常青椒土豆片,"甜椒：40g马铃薯：50g豆油：5g精盐：0.5g辣椒酱：1g, 甜椒：40g, 马铃薯：50g, 豆油：5g, 精盐：0.5g, 辣椒酱：1g",93 kcal,1.71 g,5.21 g,10.45 g,4.22 μg RAE,,5.01 mg α-TE,,0.06 mg,0.02 mg,0.19 mg,0.00 μg,0.72 mg,12.21 μg,59.00 mg,2.58 μg,,280.04 mg,175.94 mg,13.07 mg,0.35 mg,0.20 mg,5.43 mg,23.65 mg,0.41 μg,1.04 μg,0.06 mg,0.07 mg
8651,尖椒黄瓜炒肉,"甜椒：40g黄瓜：50g猪肉：30g豆油：5g精盐：0.5g鸡精：0.5g生抽：1g大葱：3g, 甜椒：40g, 黄瓜：50g, 猪肉：30g, 豆油：5g, 精盐：0.5g, 鸡精：0.5g, 生抽：1g, 大葱：3g",105 kcal,7.04 g,7.06 g,3.75 g,19.75 μg RAE,,5.16 mg α-TE,,0.18 mg,0.06 mg,0.05 mg,0.00 μg,1.88 mg,12.02 μg,56.59 mg,0.53 μg,3.00 mg,374.95 mg,149.88 mg,15.94 mg,1.32 mg,1.05 mg,16.65 mg,70.72 mg,3.23 μg,1.65 μg,0.07 mg,0.07 mg
8652,西红柿炒鲜蘑,"番茄：50g蘑菇：50g豆油：5g精盐：0.5g绵白糖：1g鸡精：0.5g大葱：3g大蒜：2g黄酒：2g, 番茄：50g, 蘑菇：50g, 豆油：5g, 精盐：0.5g, 绵白糖：1g, 鸡精：0.5g, 大葱：3g, 大蒜：2g, 黄酒：2g",75 kcal,2.02 g,5.17 g,5.57 g,16.21 μg RAE,0.00 μg,5.16 mg α-TE,0.00 μg,0.05 mg,0.19 mg,0.03 mg,0.00 μg,2.29 mg,4.62 μg,8.23 mg,1.17 μg,3.35 mg,300.91 mg,256.04 mg,12.89 mg,0.87 mg,0.61 mg,9.35 mg,63.22 mg,0.38 μg,1.13 μg,0.28 mg,0.14 mg
8653,番茄汁烧菜花,"番茄：50g豌豆：10g菜花：35g豆油：5g精盐：0.5g大葱：3g, 番茄：50g, 豌豆：10g, 菜花：35g, 豆油：5g, 精盐：0.5g, 大葱：3g",72 kcal,1.84 g,5.21 g,5.41 g,17.80 μg RAE,,4.98 mg α-TE,,0.06 mg,0.03 mg,0.07 mg,0.00 μg,0.61 mg,23.29 μg,19.69 mg,2.47 μg,9.65 mg,215.77 mg,198.32 mg,17.24 mg,0.54 mg,0.31 mg,17.60 mg,37.00 mg,1.19 μg,0.44 μg,0.06 mg,0.16 mg
8654,辣椒煸肉丝,"甜椒：40g猪肉：60g豆油：5g精盐：0.5g生抽：1g酱油：1g甘薯粉：2g, 甜椒：40g, 猪肉：60g, 豆油：5g, 精盐：0.5g, 生抽：1g, 酱油：1g, 甘薯粉：2g",146 kcal,12.74 g,8.80 g,4.14 g,28.84 μg RAE,,5.01 mg α-TE,,0.33 mg,0.07 mg,0.05 mg,0.00 μg,3.37 mg,9.43 μg,52.00 mg,0.51 μg,,353.26 mg,191.33 mg,19.05 mg,2.23 mg,1.86 mg,5.84 mg,116.62 mg,5.93 μg,1.61 μg,0.08 mg,0.06 mg
8655,番茄炒老豆腐,"豆腐：50g番茄：100g醋：2g绵白糖：1g豆油：5g精盐：0.5g淀粉：2g葱：2g, 豆腐：50g, 番茄：100g, 醋：2g, 绵白糖：1g, 豆油：5g, 精盐：0.5g, 淀粉：2g, 葱：2g",131 kcal,5.57 g,9.27 g,7.63 g,32.40 μg RAE,,9.28 mg α-TE,,0.05 mg,0.02 mg,0.08 mg,0.00 μg,0.59 mg,28.82 μg,14.42 mg,5.90 μg,19.95 mg,216.63 mg,242.76 mg,44.30 mg,1.25 mg,0.58 mg,59.54 mg,83.62 mg,1.31 μg,4.59 μg,0.08 mg,0.18 mg
8656,家常番茄炒鸡蛋,"番茄：50g鸡蛋：60g豆油：5g精盐：0.5g江米酒：5g, 番茄：50g, 鸡蛋：60g, 豆油：5g, 精盐：0.5g, 江米酒：5g",141 kcal,8.39 g,10.26 g,3.09 g,168.50 μg RAE,0.00 μg,5.54 mg α-TE,0.00 μg,0.06 mg,0.13 mg,0.03 mg,0.00 μg,0.37 mg,72.13 μg,7.00 mg,6.79 μg,153.35 mg,280.61 mg,182.12 mg,12.46 mg,1.18 mg,0.68 mg,37.16 mg,90.80 mg,8.41 μg,13.85 μg,0.14 mg,0.09 mg
8657,番茄烩花菜,"番茄：50g菜花：70g豆油：5g精盐：0.5g绵白糖：1g, 番茄：50g, 菜花：70g, 豆油：5g, 精盐：0.5g, 绵白糖：1g",71 kcal,1.64 g,5.24 g,5.58 g,16.20 μg RAE,,4.86 mg α-TE,,0.04 mg,0.04 mg,0.11 mg,0.00 μg,0.47 mg,25.08 μg,29.40 mg,3.74 μg,15.95 mg,229.12 mg,233.94 mg,18.78 mg,0.49 mg,0.23 mg,24.52 mg,34.78 mg,2.01 μg,0.35 μg,0.04 mg,0.11 mg
8658,西红柿豆腐,"豆腐：50g番茄：50g豆油：5g精盐：0.5g鸡精：0.5g白砂糖：1g姜：2g大葱：3g, 豆腐：50g, 番茄：50g, 豆油：5g, 精盐：0.5g, 鸡精：0.5g, 白砂糖：1g, 姜：2g, 大葱：3g",117 kcal,5.16 g,9.18 g,4.55 g,15.65 μg RAE,,9.06 mg α-TE,,0.04 mg,0.02 mg,0.05 mg,0.00 μg,0.34 mg,24.59 μg,7.13 mg,4.77 μg,16.60 mg,299.94 mg,149.71 mg,38.66 mg,1.02 mg,0.49 mg,57.57 mg,69.73 mg,1.26 μg,4.42 μg,0.06 mg,0.17 mg
8659,鲫鱼西红柿汤,"鲫鱼：80g番茄：50g香菜：5g精盐：2g味精：1g花生油：10g葱：5g姜：3g大蒜：3g饮用水：200g, 鲫鱼：80g, 番茄：50g, 香菜：5g, 精盐：2g, 味精：1g, 花生油：10g, 葱：5g, 姜：3g, 大蒜：3g, 饮用水：200g",195 kcal,14.88 g,12.32 g,6.66 g,37.96 μg RAE,0.00 μg,5.05 mg α-TE,0.00 μg,0.04 mg,0.09 mg,0.11 mg,0.00 μg,2.42 mg,31.54 μg,10.78 mg,2.19 μg,14.79 mg,918.17 mg,364.58 mg,45.61 mg,1.76 mg,1.82 mg,88.47 mg,175.95 mg,11.67 μg,0.71 μg,0.12 mg,0.26 mg
8660,番茄烧南瓜,"南瓜：50g番茄：50g酱油：2g豆油：5g精盐：2g, 南瓜：50g, 番茄：50g, 酱油：2g, 豆油：5g, 精盐：2g",72 kcal,1.26 g,5.15 g,6.25 g,79.00 μg RAE,,5.82 mg α-TE,,0.03 mg,0.03 mg,0.11 mg,0.00 μg,0.54 mg,20.00 μg,9.50 mg,1.75 μg,3.35 mg,911.96 mg,319.17 mg,13.81 mg,0.59 mg,0.24 mg,12.41 mg,44.43 mg,0.30 μg,0.75 μg,0.05 mg,0.10 mg
8661,番茄豆腐煲,"豆腐：50g番茄：50g香菇：3g酱油：1g黄酒：2g精盐：0.5g白砂糖：1g鸡精：0.5g蒜苗：2g淀粉：2g, 豆腐：50g, 番茄：50g, 香菇：3g, 酱油：1g, 黄酒：2g, 精盐：0.5g, 白砂糖：1g, 鸡精：0.5g, 蒜苗：2g, 淀粉：2g",89 kcal,5.83 g,4.21 g,8.06 g,16.02 μg RAE,0.00 μg,4.45 mg α-TE,0.00 μg,0.05 mg,0.06 mg,0.05 mg,0.00 μg,0.97 mg,30.09 μg,7.85 mg,4.75 μg,16.60 mg,358.49 mg,166.03 mg,44.18 mg,1.37 mg,0.72 mg,59.84 mg,80.29 mg,1.48 μg,4.35 μg,0.08 mg,0.25 mg
8662,青瓜炒猪肉片,"黄瓜：100g猪肉：60g豆油：5g精盐：0.5g蚝油：1g酱油：1g鸡精：0.5g, 黄瓜：100g, 猪肉：60g, 豆油：5g, 精盐：0.5g, 蚝油：1g, 酱油：1g, 鸡精：0.5g",150 kcal,13.12 g,8.93 g,4.21 g,34.40 μg RAE,,5.34 mg α-TE,,0.34 mg,0.09 mg,,,3.40 mg,14.02 μg,9.00 mg,0.00 μg,6.00 mg,431.76 mg,289.03 mg,31.73 mg,2.51 mg,2.03 mg,29.06 mg,140.12 mg,6.11 μg,2.29 μg,0.13 mg,0.11 mg
8663,凉拌拍黄瓜,"黄瓜：150g大蒜：2g味精：1g香菜：1g精盐：0.5g白砂糖：1g醋：2g, 黄瓜：150g, 大蒜：2g, 味精：1g, 香菜：1g, 精盐：0.5g, 白砂糖：1g, 醋：2g",35 kcal,1.75 g,0.31 g,6.33 g,13.03 μg RAE,,0.77 mg α-TE,,0.03 mg,0.05 mg,,,0.36 mg,15.14 μg,14.12 mg,,9.00 mg,291.63 mg,168.94 mg,23.62 mg,0.95 mg,0.32 mg,39.44 mg,40.87 mg,0.71 μg,1.59 μg,0.08 mg,0.17 mg
8664,鲜拌黄瓜,"黄瓜：150g大蒜：2g辣椒酱：1g精盐：0.5g醋：2g豆油：5g, 黄瓜：150g, 大蒜：2g, 辣椒酱：1g, 精盐：0.5g, 醋：2g, 豆油：5g",73 kcal,1.34 g,5.34 g,5.03 g,13.38 μg RAE,,5.44 mg α-TE,,0.03 mg,0.05 mg,,,0.35 mg,13.65 μg,13.64 mg,,9.00 mg,290.07 mg,168.50 mg,24.25 mg,1.04 mg,0.37 mg,39.05 mg,40.91 mg,0.70 μg,1.54 μg,0.09 mg,0.18 mg
8665,黄瓜拌干豆腐,"黄瓜：100g豆腐丝：50g精盐：0.5g味精：1g醋：2g辣椒油：1g白砂糖：1g大蒜：2g, 黄瓜：100g, 豆腐丝：50g, 精盐：0.5g, 味精：1g, 醋：2g, 辣椒油：1g, 白砂糖：1g, 大蒜：2g",138 kcal,12.08 g,6.46 g,7.92 g,9.94 μg RAE,,6.26 mg α-TE,,0.04 mg,0.09 mg,,,0.49 mg,9.10 μg,9.14 mg,,6.00 mg,298.99 mg,152.22 mg,79.29 mg,5.22 mg,1.25 mg,128.43 mg,138.38 mg,1.21 μg,1.04 μg,0.20 mg,1.00 mg
8666,青瓜炒肉,"黄瓜：50g猪肉：60g鸡精：0.5g生抽：1g豆油：5g精盐：0.5g大蒜：2g淀粉：2g, 黄瓜：50g, 猪肉：60g, 鸡精：0.5g, 生抽：1g, 豆油：5g, 精盐：0.5g, 大蒜：2g, 淀粉：2g",150 kcal,12.77 g,8.83 g,4.70 g,30.46 μg RAE,,5.12 mg α-TE,,0.33 mg,0.08 mg,,,3.30 mg,9.79 μg,4.64 mg,0.03 μg,3.00 mg,393.32 mg,244.76 mg,23.38 mg,2.26 mg,1.95 mg,17.78 mg,129.81 mg,5.98 μg,1.78 μg,0.11 mg,0.08 mg
8667,鸡丁炒黄瓜,"黄瓜：50g鸡胸脯肉：50g豆油：5g精盐：0.5g酱油：1g大蒜：2g大葱：3g淀粉：2g, 黄瓜：50g, 鸡胸脯肉：50g, 豆油：5g, 精盐：0.5g, 酱油：1g, 大蒜：2g, 大葱：3g, 淀粉：2g",124 kcal,12.90 g,6.06 g,4.21 g,5.71 μg RAE,,5.13 mg α-TE,,0.05 mg,0.05 mg,0.25 mg,0.00 μg,6.13 mg,5.42 μg,4.73 mg,0.77 μg,9.90 mg,280.89 mg,231.07 mg,24.12 mg,1.03 mg,0.31 mg,17.03 mg,103.28 mg,6.16 μg,2.12 μg,0.05 mg,0.09 mg
