recipe_id,recipe_name,ingredients,calorie,protein,fat,carbohydrate,vitamin_a,vitamin_d,vitamin_e,vitamin_k,vitamin_b1,vitamin_b2,vitamin_b6,vitamin_b12,niacin,folic_acid,vitamin_c,biotin,total_choline,sodium,potassium,magnesium,iron,zinc,calcium,phosphorus,selenium,iodine,copper,manganese
8594,炒青笋丝,"莴笋：100g豆油：3g精盐：0.5g味精：1g醋：2g胡麻油：5g, 莴笋：100g, 豆油：3g, 精盐：0.5g, 味精：1g, 醋：2g, 胡麻油：5g",91 kcal,1.44 g,8.11 g,3.17 g,13.00 μg RAE,,2.98 mg α-TE,,0.02 mg,0.02 mg,,,0.53 mg,,4.00 mg,,8.50 mg,320.08 mg,219.22 mg,19.48 mg,1.11 mg,0.41 mg,24.99 mg,50.42 mg,0.61 μg,0.04 μg,0.07 mg,0.27 mg
8595,凉拌青笋丝,"莴笋：100g芝麻油：2g精盐：0.5g, 莴笋：100g, 芝麻油：2g, 精盐：0.5g",33 kcal,1.00 g,2.09 g,2.80 g,13.00 μg RAE,,1.56 mg α-TE,,0.02 mg,0.02 mg,,,0.50 mg,,4.00 mg,,8.50 mg,233.08 mg,212.07 mg,19.07 mg,0.95 mg,0.33 mg,23.29 mg,48.08 mg,0.55 μg,,0.07 mg,0.21 mg
8596,青笋火腿丝,"莴笋：100g火腿：25g豆油：3g精盐：0.5g生抽：1g, 莴笋：100g, 火腿：25g, 豆油：3g, 精盐：0.5g, 生抽：1g",67 kcal,4.93 g,3.95 g,3.23 g,13.00 μg RAE,,3.10 mg α-TE,,0.04 mg,0.06 mg,0.02 mg,,1.89 mg,7.01 μg,4.00 mg,0.41 μg,17.93 mg,664.89 mg,259.08 mg,22.14 mg,1.25 mg,0.88 mg,25.16 mg,124.05 mg,2.55 μg,0.01 μg,0.09 mg,0.21 mg
8597,蒜香莴笋丝,"莴笋：100g大蒜：10g干红辣椒：2g精盐：2g白砂糖：1g鸡精：1g花生油：2g, 莴笋：100g, 大蒜：10g, 干红辣椒：2g, 精盐：2g, 白砂糖：1g, 鸡精：1g, 花生油：2g",58 kcal,1.86 g,2.39 g,7.94 g,13.30 μg RAE,,1.32 mg α-TE,,0.03 mg,0.03 mg,,,0.59 mg,0.11 μg,4.70 mg,0.83 μg,8.50 mg,1013.47 mg,265.13 mg,23.85 mg,1.24 mg,0.60 mg,28.10 mg,66.70 mg,0.89 μg,0.39 μg,0.10 mg,0.47 mg
8598,错拌青笋丝,"莴笋：100g芝麻油：2g精盐：0.5g醋：2g, 莴笋：100g, 芝麻油：2g, 精盐：0.5g, 醋：2g",34 kcal,1.04 g,2.10 g,2.90 g,13.00 μg RAE,,1.56 mg α-TE,,0.02 mg,0.02 mg,,,0.53 mg,,4.00 mg,,8.50 mg,238.32 mg,219.09 mg,19.33 mg,1.07 mg,0.36 mg,23.63 mg,50.00 mg,0.60 μg,0.04 μg,0.07 mg,0.27 mg
8599,酸辣莴笋丝,"莴笋：100g豆油：3g鸡精：0.5g醋：2g酱油：1g精盐：0.5g, 莴笋：100g, 豆油：3g, 鸡精：0.5g, 醋：2g, 酱油：1g, 精盐：0.5g",45 kcal,1.15 g,3.12 g,3.16 g,13.00 μg RAE,,2.98 mg α-TE,,0.02 mg,0.02 mg,,,0.55 mg,0.06 μg,4.00 mg,0.00 μg,8.50 mg,390.34 mg,222.99 mg,20.93 mg,1.19 mg,0.40 mg,24.54 mg,52.50 mg,0.62 μg,0.19 μg,0.07 mg,0.27 mg
8600,莴笋煲排骨,"莴笋：100g猪大排：45g豆油：3g精盐：0.5g, 莴笋：100g, 猪大排：45g, 豆油：3g, 精盐：0.5g",161 kcal,9.24 g,12.28 g,3.57 g,18.40 μg RAE,,3.03 mg α-TE,,0.38 mg,0.09 mg,,,2.89 mg,2.16 μg,4.00 mg,2.43 μg,8.50 mg,253.24 mg,335.46 mg,26.75 mg,1.33 mg,1.13 mg,27.10 mg,104.46 mg,5.19 μg,,0.12 mg,0.22 mg
8601,青笋炒鸡丝,"莴笋：100g鸡胸脯肉：50g豆油：3g精盐：0.5g鸡精：0.5g酱油：1g, 莴笋：100g, 鸡胸脯肉：50g, 豆油：3g, 精盐：0.5g, 鸡精：0.5g, 酱油：1g",103 kcal,13.41 g,4.06 g,3.36 g,14.50 μg RAE,,3.19 mg α-TE,,0.06 mg,0.05 mg,0.25 mg,,6.50 mg,0.41 μg,4.00 mg,0.75 μg,15.40 mg,407.50 mg,382.47 mg,34.67 mg,1.57 mg,0.50 mg,24.70 mg,135.58 mg,6.45 μg,1.75 μg,0.08 mg,0.22 mg
8602,山药炒西红柿,"山药：60g番茄：50g豆油：3g精盐：0.5g味精：1g白砂糖：1g豌豆淀粉：3g大蒜：2g大葱：3g, 山药：60g, 番茄：50g, 豆油：3g, 精盐：0.5g, 味精：1g, 白砂糖：1g, 豌豆淀粉：3g, 大蒜：2g, 大葱：3g",90 kcal,2.15 g,3.23 g,13.63 g,17.51 μg RAE,,3.16 mg α-TE,,0.04 mg,0.02 mg,0.03 mg,0.00 μg,0.46 mg,9.24 μg,10.23 mg,1.17 μg,3.35 mg,295.08 mg,229.68 mg,19.22 mg,0.46 mg,0.29 mg,16.09 mg,36.12 mg,0.42 μg,2.51 μg,0.16 mg,0.15 mg
8603,芹菜炒黄牛肉,"芹菜：100g牛肉：40g豆油：3g精盐：0.5g酱油：1g鸡精：0.5g淀粉：2g白砂糖：1g大蒜：2g姜：2g大葱：3g, 芹菜：100g, 牛肉：40g, 豆油：3g, 精盐：0.5g, 酱油：1g, 鸡精：0.5g, 淀粉：2g, 白砂糖：1g, 大蒜：2g, 姜：2g, 大葱：3g",102 kcal,9.18 g,4.23 g,7.31 g,3.81 μg RAE,,3.14 mg α-TE,,0.03 mg,0.07 mg,0.06 mg,0.00 μg,2.25 mg,30.69 μg,2.27 mg,1.48 μg,,542.34 mg,230.00 mg,27.88 mg,1.40 mg,2.25 mg,21.69 mg,92.57 mg,1.56 μg,1.88 μg,0.05 mg,0.16 mg
